center_id,center_name,address,latitude,longitude,opening_time,closing_time
1,Adam Road Food Centre,"2, Adam Road, Singapore 289876",1.324131966,103.8141632,09:00,21:00
2,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),"Blk 117, Aljunied Ave 2, Singapore 380117",1.320709944,103.8870926,07:00,21:00
3,Amoy Street Food Centre (Telok Ayer Food Centre),"National Development Building, Annex B, Telok Ayer Street, Singapore 069111",1.279129028,103.8469849,06:00,22:00
4,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),"339 Anchorvale Road, Singapore 540339",1.3967932,103.8884374,06:00,22:00
5,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),"Blk 226D, Ang Mo Kio Ave 1, Singapore 564226",1.366950035,103.8391876,06:00,21:00
6,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),"Blk 341, Ang Mo Kio Ave 1, Singapore 560341",1.364169955,103.84832,08:00,20:00
7,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),"Blk 409, Ang Mo Kio Ave 10, Singapore 560409",1.362730026,103.8553772,06:00,20:00
8,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),"Blk 453A, Ang Mo Kio Ave 10, Singapore 561453",1.368299961,103.8564377,06:00,20:00
9,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),"Blk 527, Ang Mo Kio Ave 10, Singapore 560527",1.37270999,103.8544464,09:00,22:00
10,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),"Blk 160/162, Ang Mo Kio Ave 4, Singapore 560160/560162",1.374600053,103.839241,08:00,22:00
11,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),"Blk 628, Ang Mo Kio Ave 4, Singapore 560628",1.38066268,103.8407516,09:00,23:00
12,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),"Blk 724, Ang Mo Kio Ave 6, Singapore 560724",1.372040033,103.8464966,06:00,22:00
13,Bedok Food Centre,"Blk 226H, Ang Mo Kio Street 22, Singapore 568226",1.367266059,103.8399429,09:00,22:00
14,Bedok North Street 1 Blk 216,"1, Bedok Road, Singapore 469572",1.320353031,103.9554749,09:00,23:00
15,Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),"Blk 216, Bedok North Street 1, Singapore 460216",1.327119946,103.9332962,07:00,21:00
16,Bedok North Street 3 Blk 538,"Blk 511, Bedok North Street 3, Singapore 460511",1.333310008,103.930687,09:00,23:00
17,Bedok North Street 4 Blk 85 (85 Fengshan Centre),"Blk 538, Bedok North Street 3, Singapore 460538",1.332100034,103.9247208,07:00,20:00
18,Bedok Reservoir Road Blk 630,"Blk 85, Bedok North Street 4, Singapore 460085",1.332059979,103.9388123,08:00,22:00
19,Bedok South Road Blk 16,"Blk 630, Bedok Reservoir Road, Singapore 470630",1.332980037,103.9142075,06:00,22:00
20,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),"Blk 16, Bedok South Road, Singapore 460016",1.320559978,103.9355469,06:00,21:00
21,Beo Crescent Market,"Blk 29, Bendemeer Road, Singapore 330029",1.319280028,103.8630905,06:00,20:00
22,Berseh Food Centre,"38A, Beo Crescent, Singapore 169982",1.28848803,103.8272476,09:00,23:00
23,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),"166, Jalan Besar, Singapore 208877",1.307335019,103.8568497,09:00,20:00
24,Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),"Blk 221A/B, Boon Lay Place, Singapore 641221/642221",1.345280051,103.7128525,06:00,20:00
25,Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),"70 Compassvale Bow, Singapore 544692",1.3831892,103.8923776,08:00,22:00
26,Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),"Blk 665, Buffalo Road, Singapore 210665",1.306190014,103.8506699,09:00,21:00
27,Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),"Blk 469, Bukit Batok West Ave 9, Singapore 650469",1.3554507,103.742103,09:00,20:00
28,Bukit Panjang Hawker Centre and Market,21 Canberra Link Singapore 756973,1.4482634,103.8227636,09:00,21:00
29,Bukit Timah Market,"Blk 163, Bukit Merah Central, Singapore 150163",1.283740044,103.8171082,09:00,23:00
30,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),"Blk 120, Bukit Merah Lane, Singapore 150120",1.286360025,103.8045502,08:00,21:00
31,Changi Village Blk 2 and 3,"Blk 115, Bukit Merah View, Singapore 151115",1.285240054,103.8223724,08:00,23:00
32,Chomp Chomp Food Centre,"2 Bukit Panjang Ring Road, Singapore 679947",1.378269,103.772432,09:00,21:00
33,Ci Yuan Hawker Centre,Closed for redevelopment till 2029 (tentative),1.339645028,103.7758026,08:00,20:00
34,Circuit Road Blk 79/79A,"Blk 41A, Cambridge Road, Singapore 211041",1.316200018,103.8503036,07:00,23:00
35,Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),"Blk 2/3, Changi Village Road, Singapore 500002/500003",1.389719963,103.9881821,07:00,21:00
36,Circuit Road Blk 89,"20, Kensington Park Road, Singapore 557269",1.36422801,103.8665314,09:00,20:00
37,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),"51 Hougang Avenue 9, Singapore 538776",1.3749377,103.8829472,08:00,21:00
38,Clementi Ave 3 Blk 448,"Blk 79/79A, Circuit Road, Singapore 370079/371079",1.326660037,103.8851166,09:00,21:00
39,Clementi West Street 2 Blk 726,"Blk 80, Circuit Road, Singapore 370080",1.327900052,103.8871536,08:00,20:00
40,Commonwealth Crescent Market,"Blk 89, Circuit Road, Singapore 370089",1.323639989,103.8855209,09:00,21:00
41,Dunman Food Centre,"Blk 353, Clementi Ave 2, Singapore 120353",1.314337969,103.7707748,09:00,23:00
42,East Coast Lagoon Food Village,"Blk 448, Clementi Ave 3, Singapore 120448",1.313349962,103.7645874,06:00,21:00
43,Empress Road Blk 7 (Empress Road Market and Food Centre),"Blk 726, Clementi West Street 2, Singapore 120726",1.30391705,103.7641754,06:00,21:00
44,Eunos Crescent Blk 4A,"31, Commonwealth Crescent, Singapore 149644",1.307432055,103.7994614,06:00,23:00
45,Fernvale Hawker Centre and Market,"271, Onan Road, Singapore 424768",1.309412003,103.901825,06:00,22:00
46,Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),"1220, East Coast Parkway, Singapore 468960",1.307729959,103.9343033,08:00,23:00
47,Geylang Serai Market,"Blk 7, Empress Road, Singapore 260007",1.316310048,103.805687,06:00,22:00
48,Ghim Moh Road Blk 20,"Blk 4A, Eunos Crescent, Singapore 402004",1.320291996,103.9042206,08:00,22:00
49,Golden Mile Food Centre,21 Sengkang West Avenue Singapore 797650,1.3917221,103.8770391,08:00,20:00
50,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),"Blk 69, Geylang Bahru, Singapore 330069",1.321529984,103.8700714,06:00,22:00
51,Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),"1, Geylang Serai, Singapore 402001",1.316888094,103.8974075,08:00,20:00
52,Holland Drive Blk 44 (Holland Drive Market and Food Centre),"Blk 20, Ghim Moh Road, Singapore 270020",1.311059952,103.7882919,06:00,22:00
53,Holland Village Market and Food Centre,"505, Beach Road, Singapore 199583",1.302873969,103.8638763,06:00,23:00
54,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),"Blk 13/14, Haig Road, Singapore 430013/430014",1.315189958,103.8956528,06:00,21:00
55,Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),"Blk 22A/B, Havelock Road, Singapore 161022/162022",1.288040042,103.829689,06:00,21:00
56,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),"Blk 44, Holland Drive, Singapore 270044",1.308189988,103.7928391,07:00,22:00
57,Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),"1, Lorong Mambong, Singapore 277700",1.311102033,103.7949448,06:00,21:00
58,Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),"Blk 105, Hougang Ave 1, Singapore 530105",1.354089975,103.890213,09:00,21:00
59,Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),"Blk 209, Hougang Street 21, Singapore 530209",1.359079003,103.8859253,06:00,20:00
60,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),"Blk 4A, Jalan Batu, Singapore 432004",1.302430034,103.8839798,06:00,23:00
61,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),"Blk 112, Jalan Bukit Merah, Singapore 160112",1.280069947,103.8260727,07:00,20:00
62,Jurong West Hawker Centre,"Blk 6, Jalan Bukit Merah, Singapore 150006",1.287009954,103.8081894,07:00,20:00
63,Jurong West Street 52 Blk 505,"Blk 1, Jalan Kukoh, Singapore 161001",1.288319945,103.8399963,08:00,20:00
64,Kallang Estate Fresh Market and Food Centre,"Blk 347, Jurong East Ave 1, Singapore 600347",1.345360041,103.7315826,09:00,22:00
65,Kampung Admiralty Hawker Centre,"Blk 254, Jurong East Street 24, Singapore 600254",1.343433023,103.7376862,09:00,22:00
66,Margaret Drive Hawker Centre,"Blk 50, Jurong West St 61, Singapore 648202",1.341223,103.697374,07:00,23:00
67,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),"Blk 505, Jurong West Street 52, Singapore 640505",1.349699974,103.7184601,08:00,21:00
68,Marine Terrace Blk 50A (50A Marine Terrace),"17, Old Airport Road, Singapore 397972",1.307112455,103.8841476,06:00,22:00
69,Market Street Hawker Centre,"Blk 676, Woodlands Drive 71, Singapore 730676",1.440119,103.800735,09:00,22:00
70,Marsiling Lane Blk 20/21,"38A Margaret Drive, Singapore 142038",1.2974259,103.8047105,07:00,23:00
71,Marsiling Mall Hawker Centre,"Blk 84, Marine Parade Central, Singapore 440084",1.302330017,103.9063873,08:00,21:00
72,Maxwell Food Centre (Kim Hua Market),"Blk 50A, Marine Terrace, Singapore 441050",1.305809975,103.9157867,08:00,23:00
73,Mei Chin Road Blk 159 (Mei Chin Road Market),"CapitaSpring, 86 Market Street, Singapore 048947",1.2840757,103.8501046,09:00,21:00
74,New Market Road Blk 32 (People's Park Food Centre),"Blk 20/21, Marsiling Lane, Singapore 730020/730021",1.443989992,103.7772598,09:00,23:00
75,New Upper Changi Road Blk 208B (Bedok Interchange Hawker Centre),"Blk 4,Woodlands St 12,Singapore 738623",1.433543,103.779881,08:00,23:00
76,New Upper Changi Road Blk 58,"1, Kadayanallur Street, Singapore 069184",1.280550957,103.8444595,08:00,21:00
77,Newton Food Centre,"Blk 159, Mei Chin Road, Singapore 140159",1.293300033,103.8029633,06:00,22:00
78,North Bridge Road Market,"Blk 32, New Market Road, Singapore 050032",1.284870982,103.8425903,07:00,23:00
79,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),"Blk 208B, New Upper Changi Road, Singapore 462208",1.324629,103.930477,07:00,23:00
80,The Hawker Centre @ Our Tampines Hub,"Blk 58, New Upper Changi Road, Singapore 461058",1.32516551,103.940155,08:00,21:00
81,Pasir Panjang Food Centre,"500, Clemenceau Ave North, Singapore 229495",1.312224984,103.8397293,08:00,20:00
82,Pasir Ris Central Hawker Centre,"861, North Bridge Road, Singapore 198783",1.305847049,103.8638611,08:00,23:00
83,Queen Street Blk 270 (Albert Centre),"Blk 51, Old Airport Road, Singapore 390051",1.308279991,103.8858414,09:00,23:00
84,Redhill Lane Blk 79 (Redhill Market),1 Punggol Drive Singapore 828629,1.4087476,103.9051695,08:00,20:00
85,Redhill Lane Blk 85 (Redhill Food Centre),"121, Pasir Panjang Road, Singapore 118543",1.275658965,103.7915573,06:00,21:00
86,Sembawang Hills Food Centre (Jalan Leban Food Centre),"Blk 110, Pasir Ris Central, Singapore 519641",1.373318,103.951364,06:00,22:00
87,Serangoon Garden Market,"84, Punggol Way, Singapore 829911",1.4145534,103.9082354,08:00,21:00
88,Shunfu Road Blk 320 (Shunfu Mart),"Blk 270, Queen Street, Singapore 180270",1.301120043,103.8541412,09:00,23:00
89,Sims Place Blk 49 (Sims Vista Market and Food Centre),"Blk 79, Redhill Lane, Singapore 150079",1.287909985,103.8183975,08:00,21:00
90,Smith Street Blk 335 (Chinatown Complex Market),"Blk 85, Redhill Lane, Singapore 150085",1.287400007,103.8183975,07:00,23:00
91,Taman Jurong Market and Food Centre,"590, Upper Thomson Road, Singapore 574419",1.372419953,103.8290329,07:00,20:00
92,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),"2 Senja Close, Singapore 677632",1.387194,103.761084,07:00,22:00
93,Tanglin Halt Market,"49A, Serangoon Garden Way, Singapore 555945",1.363540053,103.8669815,06:00,21:00
94,Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),"Blk 320, Shunfu Road, Singapore 570320",1.351819992,103.8370285,06:00,23:00
95,Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),"Blk 49, Sims Place, Singapore 380049",1.317100048,103.8793793,09:00,22:00
96,Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),"Blk 335, Smith Street, Singapore 050335",1.282299995,103.8428802,09:00,20:00
97,Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),"3, Yung Sheng Road, Singapore 618499",1.334681034,103.7216187,08:00,23:00
98,Telok Blangah Drive Blk 82 (Telok Blangah Market),"Blk 137, Tampines Street 11, Singapore 521137",1.345595956,103.9445953,09:00,23:00
99,Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),"48A, Tanglin Halt Road, Singapore 148813",1.300850034,103.7976837,09:00,21:00
100,Tiong Bahru Market,"Blk 6, Tanjong Pagar Plaza, Singapore 081006",1.276679993,103.8432312,06:00,21:00
101,Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),"Blk 37A, Teban Garden Road, Singapore 601037",1.320517302,103.7420807,09:00,20:00
102,Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),"Blk 11, Telok Blangah Crescent, Singapore 090011",1.277439952,103.8187332,09:00,22:00
103,Toa Payoh Lorong 4 Blk 93,"Blk 79, Telok Blangah Drive, Singapore 100079",1.27342999,103.8076782,06:00,23:00
104,Toa Payoh Lorong 5 Blk 75,"Blk 82, Telok Blangah Drive, Singapore 100082",1.273980021,103.8079987,08:00,21:00
105,Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),"Blk 36, Telok Blangah Rise, Singapore 090036",1.272660017,103.8221283,08:00,20:00
106,Toa Payoh Lorong 8 Blk 210,"1 Tampines Walk, Singapore 528523",1.352983,103.940231,09:00,21:00
107,Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),"30, Seng Poh Road, Singapore 168898",1.284682989,103.832428,09:00,22:00
108,Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),"Blk 127, Lorong 1 Toa Payoh, Singapore 310127",1.338160038,103.8447876,09:00,23:00
109,West Coast Drive Blk 502 (Ayer Rajah Market),"Blk 74, Lorong 4 Toa Payoh, Singapore 310074",1.334619999,103.8520584,06:00,20:00
110,West Coast Drive Blk 503 (Ayer Rajah Food Centre),"Blk 93, Lorong 4 Toa Payoh, Singapore 310093",1.338539958,103.8495712,09:00,23:00
111,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),"Blk 75, Lorong 5 Toa Payoh, Singapore 310075",1.336099982,103.8529968,08:00,23:00
112,Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),"Blk 22, Lorong 7 Toa Payoh, Singapore 310022",1.335289955,103.8570633,07:00,21:00
113,Yishun Park Hawker Centre,"Blk 210, Lorong 8 Toa Payoh, Singapore 310210",1.340330005,103.8544617,07:00,20:00
114,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),"Blk 17, Upper Boon Keng Road, Singapore 380017",1.315089941,103.8716812,07:00,20:00
115,Zion Riverside Food Centre,"Blk 531A, Upper Cross Street, Singapore 051531",1.284469962,103.8458633,06:00,21:00
116,One Punggol Hawker Centre,"Blk 502, West Coast Drive, Singapore 120502",1.311959982,103.7591019,06:00,22:00
117,Senja Hawker Centre,"Blk 503, West Coast Drive, Singapore 120503",1.311869979,103.7598038,09:00,20:00
118,Bukit Canberra Hawker Centre,"Blk 90, Whampoa Drive, Singapore 320090",1.323140025,103.8550415,09:00,22:00
119,Buangkok Hawker Centre,"Blk 91/92, Whampoa Drive, Singapore 320091/320092",1.323490024,103.8541336,09:00,21:00
120,Anchorvale Village Hawker Centre,"202C Woodleigh Link, Singapore 363202",1.3397,103.872,06:00,22:00
121,Woodleigh Village Hawker Centre,"Blk 51, Yishun Avenue 11, Singapore 768867",1.424911,103.844992,07:00,20:00
122,Bukit Batok West Hawker Centre,"Blk 104/105, Yishun Ring Road, Singapore 760104/760105",1.43165803,103.8280716,09:00,23:00
123,Punggol Coast Hawker Centre,"70, Zion Road, Singapore 247792",1.29234004,103.8311844,09:00,23:00